foundation_model,train_mode,reduction,source,raw_mode,sensor_filter,epochs,batch_size,lr,weight_decay,cv_folds,row_type,fold,n_train,n_val,n_test,test_loss,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,rotation,50,4,0.0001,0.0001,5,fold,1,337.0,38.0,94.0,0.9071181378466018,0.5425531914893617,0.6150032938076416,0.5256244616709733,0.5444821731748727,0.6150032938076416,0.7420208223599222
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,rotation,50,4,0.0001,0.0001,5,fold,2,337.0,38.0,94.0,0.8377239716813919,0.574468085106383,0.6626646903820816,0.5720227850176215,0.5887445887445887,0.6626646903820816,0.7866000078033147
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,rotation,50,4,0.0001,0.0001,5,fold,3,337.0,38.0,94.0,0.783538780313857,0.648936170212766,0.6502470355731226,0.615311004784689,0.6124999999999999,0.6502470355731226,0.814290450313108
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,rotation,50,4,0.0001,0.0001,5,fold,4,337.0,38.0,94.0,0.7775306701660156,0.5957446808510638,0.5798160173160173,0.5502903600464576,0.5415646258503402,0.5798160173160173,0.7967475385238544
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,rotation,50,4,0.0001,0.0001,5,fold,5,338.0,38.0,93.0,0.8271304484336607,0.4946236559139785,0.5992094861660079,0.5000455373406193,0.5182456140350878,0.5992094861660079,0.7998559538605305
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,rotation,50,4,0.0001,0.0001,5,summary_mean,mean,,,,,0.5712651567147107,0.6213881046489742,0.5526588297720721,0.5611074003609778,0.6213881046489742,0.7879029545721459
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,rotation,50,4,0.0001,0.0001,5,summary_std,std,,,,,0.051653826154758074,0.030975764062824686,0.03950919651045222,0.034352480029882844,0.030975764062824686,0.024593773664765728
