foundation_model,train_mode,reduction,source,raw_mode,sensor_filter,epochs,batch_size,lr,weight_decay,cv_folds,row_type,fold,n_train,n_val,n_test,test_loss,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,4,0.0001,0.0001,5,fold,1,255.0,29.0,71.0,0.46390745589430904,0.8309859154929577,0.7579545454545454,0.7579545454545454,0.7579545454545454,0.7579545454545454,0.8715909090909091
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,4,0.0001,0.0001,5,fold,2,255.0,29.0,71.0,0.4526485045191268,0.8309859154929577,0.6693181818181818,0.6991525423728814,0.7956349206349207,0.6693181818181818,0.8954545454545454
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,4,0.0001,0.0001,5,fold,3,255.0,29.0,71.0,0.42459691053544973,0.7746478873239436,0.7659090909090909,0.7215686274509804,0.7074468085106382,0.7659090909090909,0.8704545454545454
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,4,0.0001,0.0001,5,fold,4,255.0,29.0,71.0,0.37867823285116275,0.8591549295774648,0.8426136363636363,0.8139412997903563,0.7955882352941177,0.8426136363636363,0.9340909090909091
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,4,0.0001,0.0001,5,fold,5,255.0,29.0,71.0,0.5233430459465779,0.7746478873239436,0.8083333333333333,0.7295238095238095,0.718013468013468,0.8083333333333333,0.8261904761904763
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,4,0.0001,0.0001,5,summary_mean,mean,,,,,0.8140845070422535,0.7688257575757577,0.7444281649185147,0.754927595581538,0.7688257575757577,0.8795562770562771
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,4,0.0001,0.0001,5,summary_std,std,,,,,0.03380281690140846,0.058367709272908394,0.0395211820419691,0.037246783258035966,0.058367709272908394,0.03527315788595648
