foundation_model,train_mode,reduction,source,raw_mode,sensor_filter,epochs,batch_size,lr,weight_decay,cv_folds,row_type,fold,n_train,n_val,n_test,test_loss,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,4,0.0001,0.0001,5,fold,1,280.0,32.0,78.0,0.6677484076756698,0.717948717948718,0.5976284584980237,0.6027777777777777,0.6461538461538461,0.5976284584980237,0.6434782608695653
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,4,0.0001,0.0001,5,fold,2,280.0,32.0,78.0,0.6314173722878481,0.6153846153846154,0.6387351778656126,0.5984900480439259,0.6153846153846154,0.6387351778656126,0.7193675889328064
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,4,0.0001,0.0001,5,fold,3,280.0,32.0,78.0,0.5568019487918952,0.782051282051282,0.7316205533596838,0.7345345345345345,0.7378246753246753,0.7316205533596838,0.784189723320158
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,4,0.0001,0.0001,5,fold,4,280.0,32.0,78.0,0.6468937053130224,0.7051282051282052,0.6011857707509881,0.6068376068376069,0.6290322580645161,0.6011857707509881,0.6608695652173913
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,4,0.0001,0.0001,5,fold,5,280.0,32.0,78.0,0.6205310894128604,0.7307692307692307,0.6055194805194806,0.6132231404958678,0.6538461538461539,0.6055194805194806,0.6891233766233765
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,4,0.0001,0.0001,5,summary_mean,mean,,,,,0.7102564102564103,0.6349378881987577,0.6311726215379425,0.6564483097547613,0.6349378881987577,0.6994057029926595
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,4,0.0001,0.0001,5,summary_std,std,,,,,0.05415054379985351,0.05051455005960154,0.05190853423246774,0.04283159337493413,0.05051455005960154,0.04960936590163611
