foundation_model,train_mode,reduction,source,raw_mode,sensor_filter,epochs,batch_size,lr,weight_decay,cv_folds,row_type,fold,n_train,n_val,n_test,test_loss,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,4,0.0001,0.0001,5,fold,1,337.0,38.0,94.0,0.8428251071179167,0.648936170212766,0.6355401844532279,0.5804843304843305,0.5974293563579277,0.6355401844532279,0.7626648836806522
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,4,0.0001,0.0001,5,fold,2,337.0,38.0,94.0,0.8597132753818593,0.6382978723404256,0.5323451910408431,0.5432770452134194,0.5985449735449735,0.5323451910408431,0.7886574539973191
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,4,0.0001,0.0001,5,fold,3,337.0,38.0,94.0,0.8206142580255549,0.6170212765957447,0.5878129117259552,0.548203842940685,0.5534865900383141,0.5878129117259552,0.7898910973696643
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,4,0.0001,0.0001,5,fold,4,337.0,38.0,94.0,0.7341194818628595,0.6702127659574468,0.660443722943723,0.630246913580247,0.6221509971509972,0.660443722943723,0.8223679342100395
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,4,0.0001,0.0001,5,fold,5,338.0,38.0,93.0,0.7381567878107871,0.6021505376344086,0.6260869565217391,0.5824084019572742,0.5649386845039019,0.6260869565217391,0.8130503025239868
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,4,0.0001,0.0001,5,summary_mean,mean,,,,,0.6353237245481582,0.6084457933370977,0.5769241068351911,0.5873101203192229,0.6084457933370977,0.7953263343563324
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,4,0.0001,0.0001,5,summary_std,std,,,,,0.023861388784337665,0.04464553465973652,0.0311225086345492,0.02484761519550971,0.04464553465973652,0.02091015684704448
