foundation_model,train_mode,reduction,source,raw_mode,sensor_filter,epochs,batch_size,lr,weight_decay,cv_folds,row_type,fold,n_train,n_val,n_test,test_loss,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,both,50,4,0.0001,0.0001,5,fold,1,280.0,32.0,78.0,0.6547652849784265,0.6282051282051282,0.5845849802371541,0.5775910364145658,0.5764285714285714,0.5845849802371541,0.6403162055335969
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,both,50,4,0.0001,0.0001,5,fold,2,280.0,32.0,78.0,0.589300104822868,0.7435897435897436,0.6790513833992095,0.6834415584415584,0.6892230576441103,0.6790513833992095,0.7438735177865613
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,both,50,4,0.0001,0.0001,5,fold,3,280.0,32.0,78.0,0.6767400250985072,0.46153846153846156,0.6181818181818182,0.45254010695187163,0.676923076923077,0.6181818181818182,0.7517786561264822
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,both,50,4,0.0001,0.0001,5,fold,4,280.0,32.0,78.0,0.627721355511592,0.6923076923076923,0.6300395256916996,0.6300395256916996,0.6300395256916996,0.6300395256916996,0.6893280632411067
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,both,50,4,0.0001,0.0001,5,fold,5,280.0,32.0,78.0,0.5937851426693109,0.7692307692307693,0.6323051948051948,0.6461693548387097,0.7397058823529412,0.6323051948051948,0.7459415584415584
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,both,50,4,0.0001,0.0001,5,summary_mean,mean,,,,,0.658974358974359,0.6288325804630153,0.597956316467681,0.6624640228080799,0.6288325804630153,0.7142476002258611
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,both,50,4,0.0001,0.0001,5,summary_std,std,,,,,0.10986812966989,0.03035369103887387,0.08027723786977027,0.055398306769305336,0.03035369103887387,0.04330731250120517
