foundation_model,train_mode,reduction,source,raw_mode,sensor_filter,epochs,batch_size,lr,weight_decay,cv_folds,row_type,fold,n_train,n_val,n_test,test_loss,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,4,0.0001,0.0001,5,fold,1,255.0,29.0,71.0,0.5332381209017525,0.8169014084507042,0.615909090909091,0.6367571822117277,0.8090909090909091,0.615909090909091,0.8977272727272727
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,4,0.0001,0.0001,5,fold,2,255.0,29.0,71.0,0.4841756900431405,0.8028169014084507,0.6289772727272727,0.6490112994350282,0.7251984126984127,0.6289772727272727,0.8931818181818181
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,4,0.0001,0.0001,5,fold,3,255.0,29.0,71.0,0.46483278484411644,0.7887323943661971,0.7085227272727272,0.7039199332777315,0.6998910675381264,0.7085227272727272,0.8556818181818182
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,4,0.0001,0.0001,5,fold,4,255.0,29.0,71.0,0.40286006935885255,0.8450704225352113,0.8335227272727272,0.798970398970399,0.7795238095238095,0.8335227272727272,0.9295454545454545
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,4,0.0001,0.0001,5,fold,5,255.0,29.0,71.0,0.3777040574752109,0.8732394366197183,0.7976190476190477,0.8050045773573391,0.81328320802005,0.7976190476190477,0.9321428571428572
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,4,0.0001,0.0001,5,summary_mean,mean,,,,,0.8253521126760562,0.7169101731601731,0.7187326782504451,0.7653974813742614,0.7169101731601731,0.9016558441558441
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,4,0.0001,0.0001,5,summary_std,std,,,,,0.030338956659912687,0.08731113678794798,0.07166784834245647,0.0454065346951084,0.08731113678794798,0.027957618577027717
