foundation_model,train_mode,reduction,source,raw_mode,sensor_filter,epochs,batch_size,lr,weight_decay,cv_folds,row_type,fold,n_train,n_val,n_test,test_loss,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,4,0.0001,0.0001,5,fold,1,337.0,38.0,94.0,0.8673723289307128,0.5425531914893617,0.5643445322793149,0.533313382110633,0.523041474654378,0.5643445322793149,0.7515840342042117
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,4,0.0001,0.0001,5,fold,2,337.0,38.0,94.0,0.8470467646071251,0.6382978723404256,0.6040513833992095,0.5828571428571429,0.5954954954954955,0.6040513833992095,0.7906286117094447
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,4,0.0001,0.0001,5,fold,3,337.0,38.0,94.0,0.7957490555783535,0.6595744680851063,0.6542160737812912,0.6191575620147048,0.6083916083916084,0.6542160737812912,0.7987983936353501
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,4,0.0001,0.0001,5,fold,4,337.0,38.0,94.0,0.7782487013238542,0.5957446808510638,0.5798160173160173,0.5502903600464576,0.5415646258503402,0.5798160173160173,0.7963775990091779
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,4,0.0001,0.0001,5,fold,5,338.0,38.0,93.0,0.8271971453902542,0.5053763440860215,0.6129995608256479,0.5089072991119774,0.524978289684172,0.6129995608256479,0.8018443206086227
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,4,0.0001,0.0001,5,summary_mean,mean,,,,,0.5883093113703958,0.6030855135202962,0.5589051492281831,0.5586942988151988,0.6030855135202962,0.7878465918333615
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,4,0.0001,0.0001,5,summary_std,std,,,,,0.057627012898291634,0.030841168954220913,0.038556424622846454,0.03612608335949048,0.030841168954220913,0.01850064419098955
