foundation_model,train_mode,reduction,source,raw_mode,sensor_filter,epochs,batch_size,lr,weight_decay,cv_folds,row_type,fold,n_train,n_val,n_test,test_loss,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,4,0.0001,0.0001,5,fold,1,280.0,32.0,78.0,0.6511737880034324,0.6410256410256411,0.5557312252964427,0.5568181818181819,0.5588972431077694,0.5557312252964427,0.6545454545454545
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,4,0.0001,0.0001,5,fold,2,280.0,32.0,78.0,0.6479546358952155,0.6923076923076923,0.5794466403162055,0.5825156110615521,0.6063492063492064,0.5794466403162055,0.6379446640316206
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,4,0.0001,0.0001,5,fold,3,280.0,32.0,78.0,0.6060463923674363,0.6410256410256411,0.6189723320158103,0.6034858387799564,0.6032944406314344,0.6189723320158103,0.7383399209486166
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,4,0.0001,0.0001,5,fold,4,280.0,32.0,78.0,0.6751787586089892,0.48717948717948717,0.5984189723320158,0.48684210526315785,0.6040100250626566,0.5984189723320158,0.675098814229249
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,4,0.0001,0.0001,5,fold,5,280.0,32.0,78.0,0.5877665648093591,0.7564102564102564,0.650974025974026,0.663411310470134,0.6968253968253968,0.650974025974026,0.726461038961039
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,4,0.0001,0.0001,5,summary_mean,mean,,,,,0.6435897435897436,0.6007086391869001,0.5786146094785964,0.6138752623952927,0.6007086391869001,0.686477978543196
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,4,0.0001,0.0001,5,summary_std,std,,,,,0.08897103370716651,0.03268166004096315,0.05783001495432567,0.045098172076456104,0.03268166004096315,0.03947900778203442
