foundation_model,train_mode,reduction,source,raw_mode,sensor_filter,epochs,batch_size,lr,weight_decay,cv_folds,row_type,fold,n_train,n_val,n_test,test_loss,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,32,0.0001,0.0001,5,fold,1,280.0,32.0,78.0,0.6597643387623322,0.6666666666666666,0.5865612648221344,0.588474025974026,0.5914786967418546,0.5865612648221344,0.641106719367589
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,32,0.0001,0.0001,5,fold,2,280.0,32.0,78.0,0.6436625291139652,0.7051282051282052,0.6138339920948617,0.6195121951219512,0.6333333333333333,0.6138339920948617,0.6798418972332017
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,32,0.0001,0.0001,5,fold,3,280.0,32.0,78.0,0.6209166340338879,0.6153846153846154,0.6387351778656126,0.5984900480439259,0.6153846153846154,0.6387351778656126,0.733596837944664
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,32,0.0001,0.0001,5,fold,4,280.0,32.0,78.0,0.6258015510363456,0.717948717948718,0.6735177865612648,0.6689814814814814,0.6656603773584906,0.6735177865612648,0.6877470355731226
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,32,0.0001,0.0001,5,fold,5,280.0,32.0,78.0,0.6267993847529093,0.7564102564102564,0.6371753246753247,0.6500590318772137,0.7,0.6371753246753247,0.7215909090909092
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,32,0.0001,0.0001,5,summary_mean,mean,,,,,0.6923076923076923,0.6299647092038396,0.6251033564997195,0.6411714045636587,0.6299647092038396,0.6927766798418973
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,32,0.0001,0.0001,5,summary_std,std,,,,,0.0479699664971018,0.028878516796997294,0.030427989459502425,0.03809533435211718,0.028878516796997294,0.03273816076926344
