foundation_model,train_mode,reduction,source,raw_mode,sensor_filter,epochs,batch_size,lr,weight_decay,cv_folds,row_type,fold,n_train,n_val,n_test,test_loss,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,32,0.0001,0.0001,5,fold,1,280.0,32.0,78.0,0.6720913679171832,0.6794871794871795,0.5703557312252965,0.5726495726495726,0.5897177419354839,0.5703557312252965,0.6387351778656126
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,32,0.0001,0.0001,5,fold,2,280.0,32.0,78.0,0.6392397284507751,0.6923076923076923,0.6300395256916996,0.6300395256916996,0.6300395256916996,0.6300395256916996,0.6877470355731226
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,32,0.0001,0.0001,5,fold,3,280.0,32.0,78.0,0.6143042934246552,0.6410256410256411,0.6695652173913043,0.6252573781743308,0.641025641025641,0.6695652173913043,0.7399209486166007
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,32,0.0001,0.0001,5,fold,4,280.0,32.0,78.0,0.652233389707712,0.717948717948718,0.6229249011857707,0.6301724137931034,0.6499517839922855,0.6229249011857707,0.6790513833992096
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,32,0.0001,0.0001,5,fold,5,280.0,32.0,78.0,0.6383220920195947,0.7307692307692307,0.6055194805194806,0.6132231404958678,0.6538461538461539,0.6055194805194806,0.7037337662337663
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,32,0.0001,0.0001,5,summary_mean,mean,,,,,0.6923076923076923,0.6196809712027103,0.6142684061609149,0.6329161692982528,0.6196809712027103,0.6898376623376623
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,32,0.0001,0.0001,5,summary_std,std,,,,,0.03140371465106635,0.032372172827418534,0.021705497271824952,0.023101598031009776,0.032372172827418534,0.032965484133597116
