foundation_model,train_mode,reduction,source,raw_mode,sensor_filter,epochs,batch_size,lr,weight_decay,cv_folds,row_type,fold,n_train,n_val,n_test,test_loss,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,rotation,50,8,0.0001,0.0001,5,fold,1,337.0,38.0,94.0,0.9275924018088807,0.5,0.5464426877470355,0.49046015712682384,0.488479262672811,0.5464426877470355,0.7261688824035731
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,rotation,50,8,0.0001,0.0001,5,fold,2,337.0,38.0,94.0,0.8293663301366441,0.5957446808510638,0.630467720685112,0.5762468501878001,0.5761904761904763,0.630467720685112,0.7869427142735471
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,rotation,50,8,0.0001,0.0001,5,fold,3,337.0,38.0,94.0,0.9530091158887173,0.46808510638297873,0.5662384716732544,0.46536899928349656,0.5027777777777778,0.5662384716732544,0.7477056916853303
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,rotation,50,8,0.0001,0.0001,5,fold,4,337.0,38.0,94.0,0.8164009984503401,0.5638297872340425,0.593073593073593,0.5512625802401637,0.5540540540540541,0.593073593073593,0.7935775846960058
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,rotation,50,8,0.0001,0.0001,5,fold,5,338.0,38.0,93.0,0.8267134235751245,0.5806451612903226,0.566183574879227,0.5609243697478993,0.5704838896328258,0.566183574879227,0.800379618686255
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,rotation,50,8,0.0001,0.0001,5,summary_mean,mean,,,,,0.5416609471516816,0.5804812096116444,0.5288525913172367,0.538397092065589,0.5804812096116444,0.7709548983489423
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,rotation,50,8,0.0001,0.0001,5,summary_std,std,,,,,0.04916363602474318,0.02906240982506921,0.04308402908199914,0.035954327033225694,0.02906240982506921,0.028912015485856132
