foundation_model,train_mode,reduction,source,raw_mode,sensor_filter,epochs,batch_size,lr,weight_decay,cv_folds,row_type,fold,n_train,n_val,n_test,test_loss,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,8,0.0001,0.0001,5,fold,1,337.0,38.0,94.0,0.8319168902458028,0.5531914893617021,0.5661561264822135,0.5402411208862822,0.5505146728056945,0.5661561264822135,0.7732823845882634
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,8,0.0001,0.0001,5,fold,2,337.0,38.0,94.0,0.8433576974462955,0.5957446808510638,0.6156949934123847,0.5819746376811594,0.5959816523840914,0.6156949934123847,0.7982446259428807
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,8,0.0001,0.0001,5,fold,3,337.0,38.0,94.0,0.8574641131340189,0.6595744680851063,0.6036231884057971,0.5700280112044819,0.5929742771848034,0.6036231884057971,0.7871678625008386
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,8,0.0001,0.0001,5,fold,4,337.0,38.0,94.0,0.7364532693903497,0.648936170212766,0.6393398268398268,0.6043727680267457,0.5949019607843137,0.6393398268398268,0.8192916975811713
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,8,0.0001,0.0001,5,fold,5,338.0,38.0,93.0,0.8186724044943369,0.6129032258064516,0.5422046552481335,0.5637507501914282,0.5997063365484419,0.5422046552481335,0.8025870053330008
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,8,0.0001,0.0001,5,summary_mean,mean,,,,,0.614070006863418,0.5934037580776711,0.5720734575980194,0.586815779941469,0.5934037580776711,0.7961147151892309
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,8,0.0001,0.0001,5,summary_std,std,,,,,0.038287538919288704,0.034857538353738754,0.02110937133722353,0.018282578896175,0.034857538353738754,0.015394551412883963
