foundation_model,train_mode,reduction,source,raw_mode,sensor_filter,epochs,batch_size,lr,weight_decay,cv_folds,row_type,fold,n_train,n_val,n_test,test_loss,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,8,0.0001,0.0001,5,fold,1,337.0,38.0,94.0,0.9000131703437643,0.5,0.49578392621870887,0.47764775847894914,0.48333333333333334,0.49578392621870887,0.7461144459575261
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,8,0.0001,0.0001,5,fold,2,337.0,38.0,94.0,0.9295529735849258,0.5212765957446809,0.4762022397891963,0.4518534686601914,0.5177433247200689,0.4762022397891963,0.7745705827648571
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,8,0.0001,0.0001,5,fold,3,337.0,38.0,94.0,0.8530720814745477,0.6702127659574468,0.6096837944664032,0.5772648083623694,0.5898245614035088,0.6096837944664032,0.7879233119741387
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,8,0.0001,0.0001,5,fold,4,337.0,38.0,94.0,0.8043777714384363,0.6595744680851063,0.6282467532467533,0.6189469445283399,0.6128283672143321,0.6282467532467533,0.7960286545812862
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,8,0.0001,0.0001,5,fold,5,338.0,38.0,93.0,0.835759187257418,0.6236559139784946,0.6044795783926219,0.5632836909408849,0.5740740740740741,0.6044795783926219,0.7885099306151938
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,8,0.0001,0.0001,5,summary_mean,mean,,,,,0.5949439487531458,0.5628792584227367,0.5377993341941469,0.5555607321490634,0.5628792584227367,0.7786293851786004
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,8,0.0001,0.0001,5,summary_std,std,,,,,0.07086340116543774,0.06357491605687814,0.06292346877989102,0.047839919094237675,0.06357491605687814,0.01766596716139038
