foundation_model,train_mode,reduction,source,raw_mode,sensor_filter,epochs,batch_size,lr,weight_decay,cv_folds,row_type,fold,n_train,n_val,n_test,test_loss,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,both,50,8,0.0001,0.0001,5,fold,1,280.0,32.0,78.0,0.7289693814057571,0.7307692307692307,0.5814229249011857,0.5772903225806452,0.6839285714285714,0.5814229249011857,0.6339920948616601
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,both,50,8,0.0001,0.0001,5,fold,2,280.0,32.0,78.0,0.6077603422678434,0.7435897435897436,0.7169960474308301,0.7056603773584906,0.6993464052287581,0.7169960474308301,0.733596837944664
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,both,50,8,0.0001,0.0001,5,fold,3,280.0,32.0,78.0,0.5885650416215261,0.7051282051282052,0.7150197628458498,0.6820839978734715,0.6818181818181819,0.7150197628458498,0.7731225296442688
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,both,50,8,0.0001,0.0001,5,fold,4,280.0,32.0,78.0,0.6140415897736182,0.7051282051282052,0.6644268774703557,0.6578294869349609,0.6538461538461539,0.6644268774703557,0.6909090909090909
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,both,50,8,0.0001,0.0001,5,fold,5,280.0,32.0,78.0,0.6010930950825031,0.7692307692307693,0.6599025974025974,0.675,0.7198660714285714,0.6599025974025974,0.7443181818181819
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,both,50,8,0.0001,0.0001,5,summary_mean,mean,,,,,0.7307692307692308,0.6675536420101638,0.6595728369495136,0.6877610767500473,0.6675536420101638,0.7151877470355732
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,both,50,8,0.0001,0.0001,5,summary_std,std,,,,,0.02432521277052599,0.04936476405443594,0.043914149307520446,0.021749384414530254,0.04936476405443594,0.048427477675168785
