lr,batch_size,epochs,weight_decay,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std
0.001,16,30,0.0,0.5906428734843285,0.043659203489864545,0.5020649036953385,0.062474720869801326,0.49892082684794925,0.05560680056071753,0.5404054916600918,0.07357574084327857,0.5020649036953385,0.062474720869801326,0.6988377797973071,0.062337012141164196
0.001,32,30,0.0,0.5566460764127201,0.045718836331476824,0.4997611205219902,0.0719311366897706,0.4789397232515965,0.076969780659388,0.5091937115733172,0.11025599581678455,0.4997611205219902,0.0719311366897706,0.6999859193838228,0.05136994607716245
0.0005,16,30,0.0,0.5734843285289408,0.02812425507306792,0.4904805822197126,0.0643710112402625,0.4770940307615832,0.05527050225139384,0.4993054391926469,0.04440221734140955,0.4904805822197126,0.0643710112402625,0.6995461689713068,0.054207333810316886
0.0005,32,30,0.0,0.6119652253488904,0.013673043382746112,0.5370820001254785,0.051261871116306465,0.5312311001006096,0.04581925657225747,0.5493571379112715,0.05161390105606325,0.5370820001254785,0.051261871116306465,0.7056925579338718,0.06532526012531367
