lr,batch_size,epochs,weight_decay,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std
0.001,16,30,0.0,0.8112676056338028,0.05086047911343041,0.6319642857142858,0.09069319214825783,0.6467116573081799,0.10766578897255552,0.729332896165154,0.1056618237623669,0.6319642857142858,0.09069319214825783,0.7764610389610389,0.059316324724446555
0.001,32,30,0.0,0.7915492957746479,0.05868356804506949,0.6596049783549783,0.07785771000639495,0.6700291595072811,0.0813905008206165,0.7046628745260436,0.08527768830693072,0.6596049783549783,0.07785771000639495,0.7951731601731602,0.046070468848527744
0.0005,16,30,0.0,0.8084507042253521,0.04418137222917779,0.7109469696969697,0.06879463656566563,0.7142242825191258,0.06363150585849014,0.7256903276610649,0.06129836330490333,0.7109469696969697,0.06879463656566563,0.8150541125541124,0.043336722668459345
0.0005,32,30,0.0,0.7746478873239436,0.0684222974731894,0.643430735930736,0.08605275931448945,0.6541913384770233,0.09433003297315537,0.6717963870903056,0.1070352675532763,0.643430735930736,0.08605275931448945,0.7768506493506494,0.07664982759382832
