lr,batch_size,epochs,weight_decay,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std
0.001,16,30,0.0,0.5799359414321665,0.032219863119631126,0.4950357613401091,0.07986294701561436,0.47540512730454587,0.05078189065962239,0.5535618156600998,0.08596680589523827,0.4950357613401091,0.07986294701561436,0.7006889723068777,0.050221879114687874
0.001,32,30,0.0,0.5992679020819034,0.05658153571260293,0.4704543886065625,0.052849333182091174,0.46231108175148206,0.05532588867851232,0.5759560689388028,0.08697632571130112,0.4704543886065625,0.052849333182091174,0.7035856447418151,0.03333398925400749
0.0005,16,30,0.0,0.5480896819949668,0.03592843257281514,0.49559461070330635,0.06139942837191036,0.46448373241493324,0.05677422136273607,0.5112332087692798,0.07653284465598202,0.49559461070330635,0.06139942837191036,0.6816175695035236,0.04480357450519535
0.0005,32,30,0.0,0.516060398078243,0.12206650144398683,0.42521958717610897,0.052723933523811974,0.399815778403027,0.09971431599877739,0.5017998930020203,0.17757088316739447,0.42521958717610897,0.052723933523811974,0.674393408719117,0.06387517189971746
