lr,batch_size,epochs,weight_decay,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std
0.001,16,30,0.0,0.7549295774647887,0.029001775045033765,0.6441612554112555,0.048759265046052415,0.6418856259915126,0.046141594875502845,0.6451475427205459,0.04304725686894901,0.6441612554112555,0.048759265046052415,0.7464935064935065,0.05878386404119842
0.001,32,30,0.0,0.752112676056338,0.03943661971830986,0.6625108225108225,0.05881706213924602,0.6430498218531204,0.024428044843115945,0.67114229933538,0.021651664011020436,0.6625108225108225,0.05881706213924602,0.7282467532467534,0.03759916892425826
0.0005,16,30,0.0,0.7661971830985916,0.029001775045033793,0.6132521645021646,0.09319135401026452,0.6024157149296351,0.07182690731320558,0.6574347480098759,0.0617152936099809,0.6132521645021646,0.09319135401026452,0.7444155844155844,0.09260333353804226
0.0005,32,30,0.0,0.7887323943661972,0.03333002694704009,0.6339285714285714,0.04108384263905816,0.6493919933511283,0.048683727352829144,0.6891393111843238,0.06763063961273101,0.6339285714285714,0.04108384263905816,0.7536471861471862,0.06585219574595542
