lr,batch_size,epochs,weight_decay,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std
0.001,16,30,0.0,0.7025641025641025,0.04686068431409502,0.5846047430830039,0.030588672075588755,0.581565877215007,0.03717442479112119,0.6697579156324764,0.11157107871007767,0.5846047430830039,0.030588672075588755,0.6533342744212309,0.0560511411117116
0.001,32,30,0.0,0.6974358974358974,0.03680179511386491,0.5814313946922642,0.06490433785559258,0.5781443978888531,0.0718813699198695,0.6026991665051367,0.07036928846833747,0.5814313946922642,0.06490433785559258,0.63643704121965,0.06441737912307766
0.0005,16,30,0.0,0.7128205128205128,0.04181924725717972,0.5947727272727272,0.06925771113712634,0.5873401379836356,0.08340235728552248,0.6434636627125475,0.07087772308086006,0.5947727272727272,0.06925771113712634,0.7004474872953134,0.08294698226782846
0.0005,32,30,0.0,0.6692307692307693,0.06405126152203484,0.5900451722190853,0.06532434221336351,0.5751770206078858,0.06703680601087154,0.606184868843924,0.05642036778037117,0.5900451722190853,0.06532434221336351,0.6679093732354603,0.05521540532680641
