foundation_model,train_mode,reduction,source,raw_mode,sensor_filter,epochs,batch_size,lr,weight_decay,cv_folds,row_type,fold,n_train,n_val,n_test,test_loss,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,rotation,50,16,0.0001,0.0001,5,fold,1,255.0,29.0,71.0,0.5280444345004122,0.7323943661971831,0.6943181818181818,0.6641772467015186,0.654891304347826,0.6943181818181818,0.8340909090909091
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,rotation,50,16,0.0001,0.0001,5,fold,2,255.0,29.0,71.0,0.5196332293497005,0.8450704225352113,0.7005681818181818,0.732991452991453,0.8163082437275986,0.7005681818181818,0.8931818181818182
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,rotation,50,16,0.0001,0.0001,5,fold,3,255.0,29.0,71.0,0.548369160000707,0.8028169014084507,0.6954545454545454,0.7041666666666666,0.7155388471177945,0.6954545454545454,0.8420454545454545
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,rotation,50,16,0.0001,0.0001,5,fold,4,255.0,29.0,71.0,0.41310902716408315,0.8450704225352113,0.8113636363636363,0.7914552736982643,0.7773279352226721,0.8113636363636363,0.9295454545454545
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,rotation,50,16,0.0001,0.0001,5,fold,5,255.0,29.0,71.0,0.5626387528970208,0.704225352112676,0.7148809523809523,0.649753347427766,0.6499169435215947,0.7148809523809523,0.8
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,rotation,50,16,0.0001,0.0001,5,summary_mean,mean,,,,,0.7859154929577464,0.7233170995670994,0.7085087974971337,0.7227966547874971,0.7233170995670994,0.8597727272727272
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,rotation,50,16,0.0001,0.0001,5,summary_std,std,,,,,0.058003550090067614,0.0446276453159715,0.05082491857973862,0.06586856992027144,0.0446276453159715,0.045893336630794604
