foundation_model,train_mode,reduction,source,raw_mode,sensor_filter,epochs,batch_size,lr,weight_decay,cv_folds,row_type,fold,n_train,n_val,n_test,test_loss,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,16,0.0001,0.0001,5,fold,1,255.0,29.0,71.0,0.4696401962092225,0.8309859154929577,0.7357954545454546,0.7464285714285714,0.7600250626566416,0.7357954545454546,0.8977272727272727
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,16,0.0001,0.0001,5,fold,2,255.0,29.0,71.0,0.5470244137334151,0.8169014084507042,0.7045454545454546,0.718339945071712,0.7387267904509284,0.7045454545454546,0.8727272727272727
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,16,0.0001,0.0001,5,fold,3,255.0,29.0,71.0,0.48834514953720737,0.8028169014084507,0.7840909090909092,0.7484817813765182,0.7319109461966604,0.7840909090909092,0.8579545454545454
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,16,0.0001,0.0001,5,fold,4,255.0,29.0,71.0,0.5738570748920172,0.8450704225352113,0.8335227272727272,0.798970398970399,0.7795238095238095,0.8335227272727272,0.925
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,16,0.0001,0.0001,5,fold,5,255.0,29.0,71.0,0.4852119260270831,0.7887323943661971,0.7684523809523809,0.7258687258687259,0.7091836734693877,0.7684523809523809,0.8797619047619047
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,16,0.0001,0.0001,5,summary_mean,mean,,,,,0.8169014084507042,0.7652813852813853,0.7476178845431852,0.7438740564594856,0.7652813852813853,0.8866341991341992
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,16,0.0001,0.0001,5,summary_std,std,,,,,0.0199185008784943,0.04376986988783422,0.0281761074819163,0.024103082463663765,0.04376986988783422,0.023057079281763544
