foundation_model,train_mode,reduction,source,raw_mode,sensor_filter,epochs,batch_size,lr,weight_decay,cv_folds,row_type,fold,n_train,n_val,n_test,test_loss,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,16,0.0001,0.0001,5,fold,1,280.0,32.0,78.0,0.6471274319367532,0.7051282051282052,0.6138339920948617,0.6195121951219512,0.6333333333333333,0.6138339920948617,0.6687747035573123
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,16,0.0001,0.0001,5,fold,2,280.0,32.0,78.0,0.6466838870293055,0.6794871794871795,0.633596837944664,0.6280755292771314,0.625,0.633596837944664,0.6956521739130436
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,16,0.0001,0.0001,5,fold,3,280.0,32.0,78.0,0.6155953468420566,0.5769230769230769,0.6241106719367588,0.5683380848566157,0.6049465240641712,0.6241106719367588,0.7533596837944665
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,16,0.0001,0.0001,5,fold,4,280.0,32.0,78.0,0.6321667906565543,0.6153846153846154,0.6260869565217391,0.59375,0.6051417270929467,0.6260869565217391,0.6988142292490118
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,16,0.0001,0.0001,5,fold,5,280.0,32.0,78.0,0.65562087450272,0.7692307692307693,0.6461038961038961,0.6615236258437801,0.7272727272727273,0.6461038961038961,0.7021103896103896
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,16,0.0001,0.0001,5,summary_mean,mean,,,,,0.6692307692307692,0.6287464709203838,0.6142398870198957,0.6391388623526357,0.6287464709203838,0.7037422360248448
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,16,0.0001,0.0001,5,summary_std,std,,,,,0.06754840960163844,0.010730814908908586,0.031565123470322434,0.04544471574357591,0.010730814908908586,0.027484601974614463
