foundation_model,train_mode,reduction,source,raw_mode,sensor_filter,epochs,batch_size,lr,weight_decay,cv_folds,row_type,fold,n_train,n_val,n_test,test_loss,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,16,0.0001,0.0001,5,fold,1,280.0,32.0,78.0,0.6611420741448035,0.6666666666666666,0.5612648221343874,0.5629310344827586,0.5747348119575699,0.5612648221343874,0.6442687747035573
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,16,0.0001,0.0001,5,fold,2,280.0,32.0,78.0,0.6676228902278802,0.6923076923076923,0.5794466403162055,0.5825156110615521,0.6063492063492064,0.5794466403162055,0.6189723320158103
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,16,0.0001,0.0001,5,fold,3,280.0,32.0,78.0,0.6264528402915368,0.6538461538461539,0.6280632411067193,0.614215057702876,0.6125,0.6280632411067193,0.7430830039525692
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,16,0.0001,0.0001,5,fold,4,280.0,32.0,78.0,0.6601742368478042,0.7435897435897436,0.6790513833992095,0.6834415584415584,0.6892230576441103,0.6790513833992095,0.6711462450592885
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,16,0.0001,0.0001,5,fold,5,280.0,32.0,78.0,0.6339695102129227,0.7435897435897436,0.614448051948052,0.6239151398264224,0.678030303030303,0.614448051948052,0.7061688311688311
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,16,0.0001,0.0001,5,summary_mean,mean,,,,,0.7,0.6124548277809148,0.6134036803030336,0.6321674757962379,0.6124548277809148,0.6767278373800113
AutonLab/MOMENT-1-small,linear_probe,concat,preprocessed,split,acceleration,50,16,0.0001,0.0001,5,summary_std,std,,,,,0.03768445758127968,0.04096987636580593,0.041274724193649415,0.04406958556406341,0.04096987636580593,0.04402322925158538
