foundation_model,train_mode,reduction,source,raw_mode,sensor_filter,epochs,batch_size,lr,weight_decay,cv_folds,row_type,fold,n_train,n_val,n_test,test_loss,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,16,0.0001,0.0001,5,fold,1,337.0,38.0,94.0,0.9664695668727794,0.39361702127659576,0.5279973649538867,0.40915032679738567,0.49049513704686126,0.5279973649538867,
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,16,0.0001,0.0001,5,fold,2,337.0,38.0,94.0,0.9337667657973918,0.6276595744680851,0.5790349143610013,0.5730696484201158,0.5689102564102564,0.5790349143610013,
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,16,0.0001,0.0001,5,fold,3,337.0,38.0,94.0,0.9110718483620501,0.648936170212766,0.5912220026350461,0.5660557958779573,0.6038760622093955,0.5912220026350461,
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,16,0.0001,0.0001,5,fold,4,337.0,38.0,94.0,0.7968056125843779,0.6276595744680851,0.6401515151515151,0.6059511523907809,0.5892875240701327,0.6401515151515151,
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,16,0.0001,0.0001,5,fold,5,338.0,38.0,93.0,0.8316451778975866,0.5698924731182796,0.5994729907773386,0.5616953852247969,0.5443722943722944,0.5994729907773386,
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,16,0.0001,0.0001,5,summary_mean,mean,,,,,0.5735529627087622,0.5875757575757575,0.5431844617422072,0.5593882548217881,0.5875757575757575,
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,16,0.0001,0.0001,5,summary_std,std,,,,,0.09373155397075408,0.036170652235686496,0.06879488844599028,0.03983852549220002,0.036170652235686496,
