foundation_model,train_mode,reduction,source,raw_mode,sensor_filter,epochs,batch_size,lr,weight_decay,cv_folds,row_type,fold,n_train,n_val,n_test,test_loss,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,16,0.0001,0.0001,5,fold,1,280.0,32.0,78.0,0.6426313091547061,0.6538461538461539,0.5901185770750988,0.5889127464376342,0.587962962962963,0.5901185770750988,0.6861660079051384
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,16,0.0001,0.0001,5,fold,2,280.0,32.0,78.0,0.6010276415409186,0.6923076923076923,0.6806324110671937,0.6601307189542484,0.6568291008922443,0.6806324110671937,0.7296442687747036
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,16,0.0001,0.0001,5,fold,3,280.0,32.0,78.0,0.5723110185219691,0.7051282051282052,0.6897233201581028,0.6713683824876351,0.6666666666666667,0.6897233201581028,0.7636363636363637
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,16,0.0001,0.0001,5,fold,4,280.0,32.0,78.0,0.6273498779688126,0.717948717948718,0.6861660079051384,0.6762264150943397,0.6710239651416121,0.6861660079051384,0.6877470355731224
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,16,0.0001,0.0001,5,fold,5,280.0,32.0,78.0,0.6393851851805662,0.7051282051282052,0.5876623376623377,0.5925505337270043,0.6142857142857143,0.5876623376623377,0.6785714285714285
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,16,0.0001,0.0001,5,summary_mean,mean,,,,,0.694871794871795,0.6468605307735742,0.6378377593401723,0.6393536819898401,0.6468605307735742,0.7091530208921514
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,16,0.0001,0.0001,5,summary_std,std,,,,,0.02205724427446828,0.04742732234078604,0.03883183569926989,0.03263067648578254,0.04742732234078604,0.032588889636751946
