foundation_model,train_mode,reduction,source,raw_mode,sensor_filter,epochs,batch_size,lr,weight_decay,cv_folds,row_type,fold,n_train,n_val,n_test,test_loss,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,16,0.0001,0.0001,5,fold,1,280.0,32.0,78.0,0.659944861363142,0.6666666666666666,0.5612648221343874,0.5629310344827586,0.5747348119575699,0.5612648221343874,0.6434782608695653
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,16,0.0001,0.0001,5,fold,2,280.0,32.0,78.0,0.6612392832071353,0.7051282051282052,0.6011857707509881,0.6068376068376069,0.6290322580645161,0.6011857707509881,0.6355731225296443
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,16,0.0001,0.0001,5,fold,3,280.0,32.0,78.0,0.6300889727396842,0.782051282051282,0.6683794466403162,0.6868949232585596,0.7689393939393939,0.6683794466403162,0.750197628458498
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,16,0.0001,0.0001,5,fold,4,280.0,32.0,78.0,0.6675821267641507,0.6794871794871795,0.5577075098814229,0.5571201453554395,0.5814732142857143,0.5577075098814229,0.6569169960474308
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,16,0.0001,0.0001,5,fold,5,280.0,32.0,78.0,0.6431769468845465,0.717948717948718,0.5965909090909091,0.6027777777777777,0.6328125,0.5965909090909091,0.6801948051948052
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,16,0.0001,0.0001,5,summary_mean,mean,,,,,0.7102564102564102,0.5970256916996048,0.6033122975424285,0.6373984356494389,0.5970256916996048,0.6732721626199888
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,acceleration,50,16,0.0001,0.0001,5,summary_std,std,,,,,0.04021637728553365,0.03983368637552337,0.0463964010857923,0.06992625767160818,0.03983368637552337,0.041332398801796455
