foundation_model,train_mode,reduction,source,raw_mode,sensor_filter,epochs,batch_size,lr,weight_decay,cv_folds,row_type,fold,n_train,n_val,n_test,test_loss,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,16,0.0001,0.0001,5,fold,1,337.0,38.0,94.0,0.9590334625954323,0.40425531914893614,0.5383069828722004,0.42563470038030626,0.47278827379479144,0.5383069828722004,
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,16,0.0001,0.0001,5,fold,2,337.0,38.0,94.0,0.8640799991627957,0.6063829787234043,0.6154150197628457,0.5788043478260869,0.59228740936058,0.6154150197628457,
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,16,0.0001,0.0001,5,fold,3,337.0,38.0,94.0,0.8851372586919907,0.4574468085106383,0.5580204216073782,0.4844540644540645,0.5487654320987655,0.5580204216073782,
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,16,0.0001,0.0001,5,fold,4,337.0,38.0,94.0,0.9107917902317453,0.5106382978723404,0.6001082251082251,0.5156232181548638,0.5685852311939268,0.6001082251082251,
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,16,0.0001,0.0001,5,fold,5,338.0,38.0,93.0,0.8889641524643026,0.5913978494623656,0.6699165568730786,0.5879140239605355,0.5837391774891775,0.6699165568730786,
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,16,0.0001,0.0001,5,summary_mean,mean,,,,,0.5140242507435369,0.5963534412447455,0.5184860709551714,0.5532331047874482,0.5963534412447455,
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,rotation,50,16,0.0001,0.0001,5,summary_std,std,,,,,0.07717317980055578,0.0461037653180845,0.0604090814256764,0.04285528647731793,0.0461037653180845,
