foundation_model,train_mode,reduction,source,raw_mode,sensor_filter,epochs,batch_size,lr,weight_decay,cv_folds,row_type,fold,n_train,n_val,n_test,test_loss,accuracy,balanced_accuracy,f1,precision,recall,roc_auc
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,16,0.0005,0.0001,5,fold,1,255.0,29.0,71.0,0.52420806213164,0.8450704225352113,0.7005681818181818,0.732991452991453,0.8163082437275986,0.7005681818181818,0.9238636363636363
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,16,0.0005,0.0001,5,fold,2,255.0,29.0,71.0,0.4122963765977134,0.8732394366197183,0.8073863636363636,0.8142981691368789,0.8220238095238095,0.8073863636363636,0.9125
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,16,0.0005,0.0001,5,fold,3,255.0,29.0,71.0,0.5185084599004665,0.8591549295774648,0.7539772727272727,0.7775689223057645,0.8156779661016949,0.7539772727272727,0.8795454545454545
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,16,0.0005,0.0001,5,fold,4,255.0,29.0,71.0,0.2856179782202546,0.9014084507042254,0.8477272727272727,0.8555652426620168,0.8642857142857143,0.8477272727272727,0.9670454545454545
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,16,0.0005,0.0001,5,fold,5,255.0,29.0,71.0,0.31345390622884456,0.9014084507042254,0.8642857142857143,0.8555652426620168,0.8477272727272727,0.8642857142857143,0.95
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,16,0.0005,0.0001,5,summary_mean,mean,,,,,0.876056338028169,0.794788961038961,0.807197805951626,0.8332046012732179,0.794788961038961,0.926590909090909
AutonLab/MOMENT-1-small,linear_probe,concat,raw,split,both,50,16,0.0005,0.0001,5,summary_std,std,,,,,0.022535211267605656,0.06055428514691791,0.04714591518038356,0.019465988365077725,0.06055428514691791,0.03034410095570336
